7ef  24.417 101465.264 -11.668 194.000  61.527  24.622  24.218 ,63562208214093
8d4  25.850 101358.048  -2.753 233.154  52.341  25.651  25.375 ,63562208215092
7ef  24.417 101437.904  -9.395 179.931  61.703  24.622  24.187 
8d4  25.863 101349.024  -1.997 233.627  52.280  25.651  25.375 
7ef  24.398 101438.712  -9.464 388.458  60.703  24.622  24.187 
8d4  25.863 101358.424  -2.779 233.291  52.280  25.651  25.375 
7ef  24.398 101438.712  -9.464 252.014  59.856  24.600  24.187 ,63562208217512
8d4  25.863 101342.752  -1.479 233.642  52.250  25.662  25.375 ,63562208218513
7ef  24.417 101422.704  -8.132 220.443  59.299  24.600  24.187 ,63562208218653
8d4  25.863 101336.488   0.956 234.313  52.219  25.662  25.375 
7ef  24.448 101428.424  -8.608 335.250  59.002  24.611  24.187 
8d4  25.850 101326.720   0.142 236.038  52.219  25.673  25.375 
7ef  24.442 101420.600  -7.958 333.740  58.888  24.611  24.187 
8d4  25.856 101344.136  -1.590 234.756  52.219  25.673  25.375 
7ef  24.454 101424.112  -8.249 333.618  58.743  24.622  24.218 
8d4  25.869 101338.240  -1.104 233.535  52.219  25.673  25.375 
7ef  24.448 101416.264  -7.593 333.602  58.476  24.622  24.218 
8d4  25.863 101336.488   0.956 233.612  52.219  25.683  25.375 ,63562208224232
7ef  24.448 101416.264  -7.593 333.404  58.041  24.622  24.218 
8d4  25.856 101325.336   0.026 233.154  52.197  25.683  25.375 
7ef  24.460 101425.848  -8.391 334.518  57.659  24.622  24.218 ,63562208225513
8d4  25.869 101335.104   0.840 228.820  52.166  25.683  25.406 
7ef  24.467 101415.448  -7.525 339.233  57.339  24.622  24.218 
8d4  25.869 101328.840   0.322 230.026  52.135  25.683  25.406 ,63562208227652
7ef  24.479 101415.912  -7.567 337.081  57.041  24.622  24.218 ,63562208227813
8d4  25.863 101345.888  -1.738 229.431  52.166  25.683  25.406 ,63562208228812
8d4  25.856 101341.008  -1.331 227.172  52.219  25.694  25.406 
7ef  24.498 101430.296  -8.761 332.122  56.751  24.622  24.218 ,63562208230092
8d4  25.869 101338.240  -1.104 227.828  52.219  25.694  25.406 
7ef  24.491 101437.672  -9.374 331.451  56.690  24.622  24.218 
8d4  25.881 101348.008  -1.913 228.225  52.250  25.705  25.406 ,63562208232239
7ef  24.498 101421.168  -8.006 332.397  56.690  24.622  24.218 ,63562208232373
8d4  25.863 101342.752  -1.479 227.767  52.250  25.705  25.406 ,63562208233373
7ef  24.504 101432.040  -8.909 332.855  56.660  24.622  24.218 ,63562208233533
8d4  25.875 101339.984  -1.247 228.149  52.341  25.705  25.406 ,63562208234516
7ef  24.504 101425.968  -8.402 332.580  56.629  24.622  24.218 ,63562208234673
8d4  25.899 101359.520  -2.874 227.035  52.395  25.705  25.406 
7ef  24.516 101426.448  -8.444 334.365  56.606  24.622  24.250 
7cd  24.402 101419.648  -7.879 426.361  61.611  24.858  24.468 ,63562208236333
8d4  25.881 101341.752  -1.395 222.091  52.456  25.705  25.406 
7ef  24.535 101434.744  -9.131 335.266  56.576  24.622  24.250 ,63562208236953
7cd  24.427 101426.728  -8.465 422.836  61.176  24.858  24.437 ,63562208237453
